project,t1,t2,ratio
saaperezru_iudex,JPA,JDBC,0.0
droolsjbpm_droolsjbpm-integration,JPA,JDBC,0.0
picocontainer_picocontainer,JPA,JDBC,0.0
jdmr_mateo,JPA,JDBC,0.0
metawidget_metawidget,JPA,JDBC,0.0
aslakknutsen_arquillian-showcase,JPA,JDBC,0.0
dhanji_sitebricks,JPA,JDBC,0.0
testinfected_simple-petstore,JPA,JDBC,0.0
snowdrop_snowdrop,JPA,JDBC,0.09090909
mgwillem_MaGiQuotes,JPA,JDBC,1.0
sberan_Fixy,JPA,JDBC,0.16666667
zanata_zanata,JPA,JDBC,0.0
droolsjbpm_jbpm,JPA,JDBC,0.0
mtnoronha_AgendaNortev,JPA,JDBC,0.0
endymuhardin_belajar-restful,JPA,JDBC,0.0
jboss-sso_processFlowProvision,JPA,JDBC,0.0
spring-sprout_egov-data,JPA,JDBC,0.0
andygibson_datavalve,JPA,JDBC,0.0
dlemery_AndroidPOS,Hibernate,JDBC,0.0
joedayz_corespring,Hibernate,JDBC,0.0
sabio_CosasDeBugDeveloper,Hibernate,JDBC,0.0
eclipse_eclipse.jdt.ui,Hibernate,JDBC,0.0
jpos_jPOS-EE,Hibernate,JDBC,0.0
societies_SOCIETIES-Platform,Hibernate,JDBC,0.0
Clotho_Clotho-Core,Hibernate,JDBC,0.0
sanger-pathogens_GeneDB,Hibernate,JDBC,0.0
hibernate_hibernate-tools,Hibernate,JDBC,0.0
exoplatform_platform,Hibernate,JDBC,0.0
johnedmonds_pepco-tracker,Hibernate,JDBC,1.0
iPlantCollaborativeOpenSource_de-webapp,Hibernate,JDBC,0.0
dieu_petclinic,Hibernate,JDBC,0.0
deaconcu_browser,Hibernate,JDBC,0.0
SpringSource_spring-batch,Hibernate,JDBC,0.5
hispindia_SDMXHDataExport,Hibernate,JDBC,0.0
abiquo_abiquo,Hibernate,JDBC,0.0
puneethp_IPoll,Hibernate,JDBC,0.36363637
gridgain_gridgain,Hibernate,JDBC,0.0
Stackato-Apps_pet-clinic,Hibernate,JDBC,0.0
gomezhyuuga_SiRASS,Hibernate,JDBC,0.07692308
INCF_eeg-database,Hibernate,JDBC,0.3
dtolabs_dukesbank,Hibernate,JDBC,0.0
king-kong_Spring-Membership-Project,Hibernate,JDBC,0.0
avshabanov_java-maven-tests,Hibernate,JDBC,0.0
droolsjbpm_guvnor,Hibernate,JDBC,0.0
jogetworkflow_jw-community,Hibernate,JDBC,0.0
mariuszs_openxava,Hibernate,JDBC,0.0
nasa_mct,Hibernate,JDBC,0.0
rongjihuang_bc-framework,Hibernate,JDBC,0.0
exoplatform_ecms,Hibernate,JDBC,0.0
exoplatform_exogtn,Hibernate,JDBC,0.0
SpringSource_spring-webflow,Hibernate,JDBC,0.0
snowdrop_quickstarts,Hibernate,JDBC,0.0
apache_wicket,Hibernate,JDBC,0.0
tomcz_example-webapp,Hibernate,JDBC,0.0
ctron_org.openscada.aurora,Hibernate,JDBC,0.0
picketlink_picketlink-idm,Hibernate,JDBC,0.0
ewolff_Spring-Buch,Hibernate,JDBC,0.0
liquibase_liquibase-hibernate,Hibernate,JDBC,0.0
beangle_library,Hibernate,JDBC,0.03846154
soniclab_ciknow,Hibernate,JDBC,0.0
hazelcast_hazelcast,Hibernate,JDBC,0.0
joedayz_faces,Hibernate,JDBC,0.0
kimchy_compass,Hibernate,JDBC,0.0
EsupPortail_esup-lecture,Hibernate,JDBC,0.2
nicksieger_refactoring-to-rails,Hibernate,JDBC,0.0
joedayz_java-samples,Hibernate,JDBC,0.0
teachus_teachus,Hibernate,JDBC,0.0
RockefellerArchiveCenter_ATReference,Hibernate,JDBC,0.0
biojava_biojava-legacy,Hibernate,JDBC,0.0
travis_cosmo,Hibernate,JDBC,0.0
wicketstuff_sandbox,Hibernate,JDBC,0.33333334
bobeal_capdemat,Hibernate,JDBC,0.0
JodaOrg_joda-time-hibernate,Hibernate,JDBC,0.0
bsbodden_techconf,Hibernate,JDBC,0.0
bogeblad_infoglue,Hibernate,JDBC,0.0
pentaho_data-access,Hibernate,JDBC,0.0
Jasig_BookmarksPortlet,Hibernate,JDBC,0.0
enonic_cms-ce,Hibernate,JDBC,0.0
motech_MOTECH-Ghana,Hibernate,JDBC,0.0
voxeo_vox-mail,Hibernate,JDBC,0.0
motech_MOTECH-Mobile,Hibernate,JDBC,0.0
jdwyah_tocollege.net,Hibernate,JDBC,0.0
OpenGamma_OG-Platform,Hibernate,JDBC,0.0
rsf_SakaiRSFComponents,Hibernate,JDBC,0.0
mifos_head,Hibernate,JDBC,0.12340426
anuja-14_QuizApp,Hibernate,JDBC,0.5
picocontainer_picocontainer,Hibernate,JDBC,0.0
tedeling_ehour,Hibernate,JDBC,0.0
metawidget_metawidget,Hibernate,JDBC,0.0
apache_jackrabbit,Hibernate,JDBC,0.0
droolsjbpm_jbpm,Hibernate,JDBC,0.0
jpaoletti_java-presentation-manager,JPA,Hibernate,0.0
cmoulliard_camel-osgi-servicemix-tutorial,JPA,Hibernate,0.5
droolsjbpm_droolsjbpm-contributed-experiments,JPA,Hibernate,0.0
hibernate_hibernate-tools,JPA,Hibernate,0.0
abiquo_abiquo,JPA,Hibernate,0.0
societies_SOCIETIES-SCE-Services,JPA,Hibernate,0.057142857
gridgain_gridgain,JPA,Hibernate,0.33333334
rasea_server,JPA,Hibernate,0.0
INCF_eeg-database,JPA,Hibernate,0.15384616
hibernate_hibernate-search,JPA,Hibernate,0.012987013
avshabanov_java-maven-tests,JPA,Hibernate,0.0625
mariuszs_openxava,JPA,Hibernate,0.0
nasa_mct,JPA,Hibernate,0.0
patrikfr_dddsample,JPA,Hibernate,0.0
rongjihuang_bc-framework,JPA,Hibernate,0.11111111
itm_wsn-device-drivers,JPA,Hibernate,0.0
NUBIC_psc-mirror,JPA,Hibernate,0.0
fenix-framework_fenix-framework,JPA,Hibernate,0.0
fqntxmqee_webframe,JPA,Hibernate,0.0
SpringSource_spring-webflow,JPA,Hibernate,0.0
snowdrop_quickstarts,JPA,Hibernate,0.0
mysema_querydsl,JPA,Hibernate,0.13207547
jbossejb3_jboss-ejb3-tutorial,JPA,Hibernate,0.0
demetriusf_umake,JPA,Hibernate,1.0
liquibase_liquibase-hibernate,JPA,Hibernate,0.0
joedayz_faces,JPA,Hibernate,0.14285715
kimchy_compass,JPA,Hibernate,0.0
joedayz_java-samples,JPA,Hibernate,0.0
conder_assignment,JPA,Hibernate,0.0
cmoulliard_devoxx-2011-hands-on-lab,JPA,Hibernate,1.0
fbihack_portlets,JPA,Hibernate,1.0
picocontainer_picocontainer,JPA,Hibernate,0.0
metawidget_metawidget,JPA,Hibernate,0.0
Jasig_uPortal,JPA,Hibernate,0.0
droolsjbpm_jbpm,JPA,Hibernate,0.09375
jboss-sso_processFlowProvision,JPA,Hibernate,0.0
dlemery_AndroidPOS,JDBC,Hibernate,0.0
hudson_xstream,JDBC,Hibernate,0.0
gceylan_pro-lang,JDBC,Hibernate,0.0
ichatz_wiseml,JDBC,Hibernate,0.0
droolsjbpm_droolsjbpm-contributed-experiments,JDBC,Hibernate,0.0
xwiki_xwiki-platform,JDBC,Hibernate,0.0
Clotho_Clotho-Core,JDBC,Hibernate,0.0
hibernate_hibernate-tools,JDBC,Hibernate,0.0
iPlantCollaborativeOpenSource_de-webapp,JDBC,Hibernate,0.0
stephenh_joist,JDBC,Hibernate,0.0
dieu_petclinic,JDBC,Hibernate,0.0
deaconcu_browser,JDBC,Hibernate,0.0
liferaybrasil_liferay-portal-trunk,JDBC,Hibernate,0.0
SpringSource_spring-batch,JDBC,Hibernate,0.0625
hispindia_SDMXHDataExport,JDBC,Hibernate,0.0
abiquo_abiquo,JDBC,Hibernate,0.0
dusken_pegadi,JDBC,Hibernate,0.0
puneethp_IPoll,JDBC,Hibernate,0.25
societies_SOCIETIES-SCE-Services,JDBC,Hibernate,0.0
gridgain_gridgain,JDBC,Hibernate,0.0
riotfamily_riot,JDBC,Hibernate,0.0
Stackato-Apps_pet-clinic,JDBC,Hibernate,0.0
INCF_eeg-database,JDBC,Hibernate,0.25
FDVSolutions_DynamicJasper,JDBC,Hibernate,0.0
dtolabs_dukesbank,JDBC,Hibernate,0.0
king-kong_Spring-Membership-Project,JDBC,Hibernate,0.0
hibernate_hibernate-search,JDBC,Hibernate,0.0
avshabanov_java-maven-tests,JDBC,Hibernate,0.0
jogetworkflow_jw-community,JDBC,Hibernate,0.0
mariuszs_openxava,JDBC,Hibernate,0.0
nasa_mct,JDBC,Hibernate,0.0
patrikfr_dddsample,JDBC,Hibernate,0.0
mcarniel_oswing,JDBC,Hibernate,0.0
NUBIC_psc-mirror,JDBC,Hibernate,0.0
fenix-framework_fenix-framework,JDBC,Hibernate,0.0
fqntxmqee_webframe,JDBC,Hibernate,0.0
exoplatform_exogtn,JDBC,Hibernate,0.0
myabc_appfuse,JDBC,Hibernate,0.0
Silverpeas_Silverpeas-Components,JDBC,Hibernate,0.016949153
snowdrop_quickstarts,JDBC,Hibernate,0.0
liferay_liferay-portal,JDBC,Hibernate,0.0
apache_wicket,JDBC,Hibernate,0.0
mysema_querydsl,JDBC,Hibernate,0.0
tomcz_example-webapp,JDBC,Hibernate,0.0
ctron_org.openscada.aurora,JDBC,Hibernate,0.0
apache_jsecurity,JDBC,Hibernate,0.0
apache_roller,JDBC,Hibernate,0.16666667
jbossejb3_jboss-ejb3-tutorial,JDBC,Hibernate,0.0
picketlink_picketlink-idm,JDBC,Hibernate,0.0
grails_grails-core,JDBC,Hibernate,0.0
ewolff_Spring-Buch,JDBC,Hibernate,0.0
liquibase_liquibase-hibernate,JDBC,Hibernate,0.0
beangle_library,JDBC,Hibernate,0.035714287
soniclab_ciknow,JDBC,Hibernate,0.0
joedayz_faces,JDBC,Hibernate,0.0
kimchy_compass,JDBC,Hibernate,0.0
EsupPortail_esup-lecture,JDBC,Hibernate,1.0
nicksieger_refactoring-to-rails,JDBC,Hibernate,0.0
joedayz_java-samples,JDBC,Hibernate,0.0
teachus_teachus,JDBC,Hibernate,0.0
RockefellerArchiveCenter_ATReference,JDBC,Hibernate,0.0
akquinet_picketlink-idm,JDBC,Hibernate,0.0
conder_assignment,JDBC,Hibernate,0.0
biojava_biojava-legacy,JDBC,Hibernate,0.0
travis_cosmo,JDBC,Hibernate,0.0
wicketstuff_sandbox,JDBC,Hibernate,0.0
bobeal_capdemat,JDBC,Hibernate,0.0
geoserver_geoserver,JDBC,Hibernate,0.0
JodaOrg_joda-time-hibernate,JDBC,Hibernate,0.0
bsbodden_techconf,JDBC,Hibernate,0.0
ctron_org.openscada.atlantis,JDBC,Hibernate,0.0
bogeblad_infoglue,JDBC,Hibernate,0.0
pentaho_data-access,JDBC,Hibernate,0.0
npetalid_Promasi-V2,JDBC,Hibernate,0.0
enonic_cms-ce,JDBC,Hibernate,0.0
voxeo_vox-mail,JDBC,Hibernate,0.0
OpenGamma_OG-Platform,JDBC,Hibernate,0.0
openmicroscopy_openmicroscopy,JDBC,Hibernate,0.0
rsf_SakaiRSFComponents,JDBC,Hibernate,0.0
mifos_head,JDBC,Hibernate,0.24166666
apache_shiro,JDBC,Hibernate,0.0
akwei_halo-dal,JDBC,Hibernate,0.0
anuja-14_QuizApp,JDBC,Hibernate,1.0
astubbs_spring-modules,JDBC,Hibernate,0.0
picocontainer_picocontainer,JDBC,Hibernate,0.0
tedeling_ehour,JDBC,Hibernate,0.0
Jasig_uPortal,JDBC,Hibernate,0.0
JodaOrg_joda-time,JDBC,Hibernate,0.0
liquibase_liquibase,JDBC,Hibernate,0.0
droolsjbpm_jbpm,JDBC,Hibernate,0.0
jboss-sso_processFlowProvision,JDBC,Hibernate,0.0
