project,t1,t2,ratio
randi2_randi2,JDBC,JPA,0.0
apache_james,JDBC,JPA,0.0
Silverpeas_Silverpeas-Core,JDBC,JPA,0.0
snowdrop_snowdrop-examples,JDBC,JPA,1.0
agilebirds_openflexo,JDBC,JPA,0.0
SpringSource_spring-roo,JDBC,JPA,0.0
jkingdon_mayfly,JDBC,JPA,0.0
scalagwt_scalagwt-gwt,JDBC,JPA,0.0
apache_james-imap,JDBC,JPA,0.0
CleverCloud_Quercus,JDBC,JPA,0.014619883
Emergya_GoFleetLSServer,JDBC,JPA,0.0
fracturedatlas_ATHENA,JDBC,JPA,0.0
istlab_Alitheia-Core,JDBC,JPA,0.0
grandwazir_Alias,JDBC,JPA,0.0
AlistairIsrael_junit-rules,JDBC,JPA,0.0
marcinderylo_surveys,JDBC,JPA,0.0
apache_roller,JDBC,JPA,0.0
OpenConext_OpenConext-shared,JDBC,JPA,0.0
simbo1905_ZkToDo2,JDBC,JPA,0.0
holmbergius_Shepherd-Project,JDBC,JPA,0.0
yahoo_oozie,JDBC,JPA,0.20833333
cschneider_Karaf-Tutorial,JDBC,JPA,0.0
hudec_sql-processor,JDBC,JPA,0.0
jbossejb3_jboss-ejb3-tutorial,JDBC,JPA,1.0
picketlink_picketlink-idm,JDBC,JPA,0.0
codahale_dropwizard,JDBC,JPA,0.0
SpringSource_spring-tenancy,JDBC,JPA,0.0
grails_grails-core,JDBC,JPA,0.0
liquibase_liquibase-hibernate,JDBC,JPA,0.0
drapanjanas_vilnius-jug,JDBC,JPA,0.0
headsupdev_agile,JDBC,JPA,0.0
beangle_library,JDBC,JPA,0.027777778
devproof_portal,JDBC,JPA,0.0
lastfm_musicbrainz-data,JDBC,JPA,0.0
jbossas_jboss-as,JDBC,JPA,0.0
adcalves_OSGiinDepth,JDBC,JPA,0.0
karussell_Jetwick,JDBC,JPA,0.0
apache_rave,JDBC,JPA,0.0
opaeum_opaeum,JDBC,JPA,0.33333334
mmx900_ManalithBot,JDBC,JPA,0.0
pritom-therap_GamersChoice,JDBC,JPA,1.0
joedayz_faces,JDBC,JPA,0.0
kimchy_compass,JDBC,JPA,0.0
deas_alfresco,JDBC,JPA,0.0
BottegaIT_ddd-cqrs-sample,JDBC,JPA,0.6666667
langmi_spring-batch-examples,JDBC,JPA,0.0
hedtek_dspace-rest,JDBC,JPA,0.64285713
Jasig_cas,JDBC,JPA,0.0
