date,jpa-files,jdbc-files,hibernate-files,jpa-projects,jdbc-projects,hibernate-projects
1991-07,0,1,0,0,1,0
1991-08,0,1,0,0,1,0
1991-09,0,1,0,0,1,0
1991-10,0,1,0,0,1,0
1991-11,0,1,0,0,1,0
1991-12,0,1,0,0,1,0
1992-01,0,1,0,0,1,0
1992-02,0,1,0,0,1,0
1992-03,0,1,0,0,1,0
1992-04,0,1,0,0,1,0
1992-05,0,1,0,0,1,0
1992-06,0,1,0,0,1,0
1992-07,0,1,0,0,1,0
1992-08,0,1,0,0,1,0
1992-09,0,1,0,0,1,0
1992-10,0,1,0,0,1,0
1992-11,0,1,0,0,1,0
1992-12,0,1,0,0,1,0
1993-01,0,1,0,0,1,0
1993-02,0,1,0,0,1,0
1993-03,0,1,0,0,1,0
1993-04,0,1,0,0,1,0
1993-05,0,1,0,0,1,0
1993-06,0,1,0,0,1,0
1993-07,0,1,0,0,1,0
1993-08,0,1,0,0,1,0
1993-09,0,1,0,0,1,0
1993-10,0,1,0,0,1,0
1993-11,0,1,0,0,1,0
1993-12,0,1,0,0,1,0
1994-01,0,1,0,0,1,0
1994-02,0,1,0,0,1,0
1994-03,0,1,0,0,1,0
1994-04,0,1,0,0,1,0
1994-05,0,1,0,0,1,0
1994-06,0,1,0,0,1,0
1994-07,0,1,0,0,1,0
1994-08,0,1,0,0,1,0
1994-09,0,1,0,0,1,0
1994-10,0,1,0,0,1,0
1994-11,0,1,0,0,1,0
1994-12,0,1,0,0,1,0
1995-01,0,1,0,0,1,0
1995-02,0,1,0,0,1,0
1995-03,0,1,0,0,1,0
1995-04,0,1,0,0,1,0
1995-05,0,1,0,0,1,0
1995-06,0,1,0,0,1,0
1995-07,0,1,0,0,1,0
1995-08,0,1,0,0,1,0
1995-09,0,1,0,0,1,0
1995-10,0,1,0,0,1,0
1995-11,0,1,0,0,1,0
1995-12,0,1,0,0,1,0
1996-01,0,1,0,0,1,0
1996-02,0,1,0,0,1,0
1996-03,0,1,0,0,1,0
1996-04,0,1,0,0,1,0
1996-05,0,1,0,0,1,0
1996-06,0,1,0,0,1,0
1996-07,0,1,0,0,1,0
1996-08,0,1,0,0,1,0
1996-09,0,1,0,0,1,0
1996-10,0,1,0,0,1,0
1996-11,0,1,0,0,1,0
1996-12,0,1,0,0,1,0
1997-01,0,1,0,0,1,0
1997-02,0,1,0,0,1,0
1997-03,0,1,0,0,1,0
1997-04,0,1,0,0,1,0
1997-05,0,1,0,0,1,0
1997-06,0,1,0,0,1,0
1997-07,0,1,0,0,1,0
1997-08,0,1,0,0,1,0
1997-09,0,12,0,0,2,0
1997-10,0,21,0,0,2,0
1997-11,0,21,0,0,2,0
1997-12,0,21,0,0,2,0
1998-01,0,21,0,0,2,0
1998-02,0,36,0,0,2,0
1998-03,0,36,0,0,2,0
1998-04,0,36,0,0,2,0
1998-05,0,36,0,0,2,0
1998-06,0,36,0,0,2,0
1998-07,0,37,0,0,2,0
1998-08,0,37,0,0,2,0
1998-09,0,37,0,0,2,0
1998-10,0,40,0,0,2,0
1998-11,0,33,0,0,2,0
1998-12,0,33,0,0,2,0
1999-01,0,33,0,0,2,0
1999-02,0,49,0,0,2,0
1999-03,0,49,0,0,2,0
1999-04,0,49,0,0,2,0
1999-05,0,45,0,0,2,0
1999-06,0,45,0,0,2,0
1999-07,0,45,0,0,2,0
1999-08,0,50,0,0,3,0
1999-09,0,50,0,0,3,0
1999-10,0,50,0,0,3,0
1999-11,0,50,0,0,3,0
1999-12,0,50,0,0,3,0
2000-01,0,56,0,0,4,0
2000-02,0,61,0,0,5,0
2000-03,0,64,0,0,5,0
2000-04,0,67,0,0,6,0
2000-05,0,106,0,0,6,0
2000-06,0,118,0,0,6,0
2000-07,0,119,0,0,7,0
2000-08,0,123,0,0,8,0
2000-09,0,128,0,0,9,0
2000-10,0,133,0,0,9,0
2000-11,0,142,0,0,10,0
2000-12,0,141,0,0,11,0
2001-01,0,157,0,0,14,0
2001-02,0,160,0,0,14,0
2001-03,0,156,0,0,15,0
2001-04,0,178,0,0,16,0
2001-05,0,237,0,0,18,0
2001-06,0,223,0,0,18,0
2001-07,0,233,0,0,19,0
2001-08,0,246,0,0,20,0
2001-09,0,270,0,0,20,0
2001-10,0,291,0,0,20,0
2001-11,0,312,0,0,20,0
2001-12,0,325,0,0,20,0
2002-01,0,334,0,0,20,0
2002-02,0,419,0,0,21,0
2002-03,0,427,0,0,21,0
2002-04,0,447,0,0,21,0
2002-05,0,456,0,0,23,0
2002-06,0,490,0,0,24,0
2002-07,0,518,0,0,26,0
2002-08,0,538,0,0,28,0
2002-09,0,581,0,0,30,0
2002-10,0,597,0,0,30,0
