project,t1,t2,duration,ratio,cumratio
42BV_jarb,JDBC,JPA,4,0.0,0.0
42BV_jarb,JDBC,JPA,5,0.0,0.0
42BV_jarb,JDBC,JPA,6,0.0,0.0
42BV_jarb,JDBC,JPA,7,0.0,0.0
42BV_jarb,JDBC,JPA,8,0.0,0.0
42BV_jarb,JDBC,JPA,9,0.0,0.0
42BV_jarb,JDBC,JPA,10,0.0,0.0
42BV_jarb,JDBC,JPA,11,0.0,0.0
42BV_jarb,JDBC,JPA,12,0.0,0.0
42BV_jarb,JDBC,JPA,13,0.0,0.0
42BV_jarb,JDBC,JPA,14,0.0,0.0
42BV_jarb,JDBC,JPA,15,0.0,0.0
santiagozky_harmony,JDBC,JPA,0,0.0,0.0
santiagozky_harmony,JDBC,JPA,1,0.0,0.0
santiagozky_harmony,JDBC,JPA,2,0.0,0.0
santiagozky_harmony,JDBC,JPA,3,0.0,0.0
santiagozky_harmony,JDBC,JPA,4,0.0,0.0
santiagozky_harmony,JDBC,JPA,5,0.0,0.0
santiagozky_harmony,JDBC,JPA,6,0.0,0.0
santiagozky_harmony,JDBC,JPA,7,0.0,0.0
santiagozky_harmony,JDBC,JPA,8,0.0,0.0
santiagozky_harmony,JDBC,JPA,9,0.0,0.0
santiagozky_harmony,JDBC,JPA,10,0.0,0.0
santiagozky_harmony,JDBC,JPA,11,0.0,0.0
santiagozky_harmony,JDBC,JPA,12,0.0,0.0
santiagozky_harmony,JDBC,JPA,13,0.0,0.0
santiagozky_harmony,JDBC,JPA,14,0.0,0.0
santiagozky_harmony,JDBC,JPA,15,0.0,0.0
brix-cms_brix-cms-plugins,JDBC,JPA,0,0.0,0.0
brix-cms_brix-cms-plugins,JDBC,JPA,1,0.0,0.0
brix-cms_brix-cms-plugins,JDBC,JPA,2,0.0,0.0
brix-cms_brix-cms-plugins,JDBC,JPA,3,0.0,0.0
brix-cms_brix-cms-plugins,JDBC,JPA,4,0.0,0.0
brix-cms_brix-cms-plugins,JDBC,JPA,5,0.0,0.0
brix-cms_brix-cms-plugins,JDBC,JPA,6,0.0,0.0
brix-cms_brix-cms-plugins,JDBC,JPA,7,0.0,0.0
brix-cms_brix-cms-plugins,JDBC,JPA,8,0.0,0.0
brix-cms_brix-cms-plugins,JDBC,JPA,9,0.0,0.0
brix-cms_brix-cms-plugins,JDBC,JPA,10,0.0,0.0
brix-cms_brix-cms-plugins,JDBC,JPA,11,0.0,0.0
brix-cms_brix-cms-plugins,JDBC,JPA,12,0.0,0.0
brix-cms_brix-cms-plugins,JDBC,JPA,13,0.0,0.0
brix-cms_brix-cms-plugins,JDBC,JPA,14,0.0,0.0
brix-cms_brix-cms-plugins,JDBC,JPA,15,0.0,0.0
joedayz_corespring,JDBC,JPA,0,0.0,0.0
joedayz_corespring,JDBC,JPA,1,0.0,0.0
joedayz_corespring,JDBC,JPA,2,0.0,0.0
joedayz_corespring,JDBC,JPA,3,0.0,0.0
joedayz_corespring,JDBC,JPA,4,0.0,0.0
joedayz_corespring,JDBC,JPA,5,0.0,0.0
joedayz_corespring,JDBC,JPA,6,0.0,0.0
joedayz_corespring,JDBC,JPA,7,0.0,0.0
joedayz_corespring,JDBC,JPA,8,0.0,0.0
joedayz_corespring,JDBC,JPA,9,0.0,0.0
joedayz_corespring,JDBC,JPA,10,0.0,0.0
joedayz_corespring,JDBC,JPA,11,0.0,0.0
joedayz_corespring,JDBC,JPA,12,0.0,0.0
joedayz_corespring,JDBC,JPA,13,0.0,0.0
joedayz_corespring,JDBC,JPA,14,0.0,0.0
joedayz_corespring,JDBC,JPA,15,0.0,0.0
nuxeo_nuxeo-features,JDBC,JPA,0,0.0,0.0
nuxeo_nuxeo-features,JDBC,JPA,1,0.0,0.0
nuxeo_nuxeo-features,JDBC,JPA,2,0.0,0.0
nuxeo_nuxeo-features,JDBC,JPA,3,0.0,0.0
nuxeo_nuxeo-features,JDBC,JPA,4,0.0,0.0
nuxeo_nuxeo-features,JDBC,JPA,5,0.0,0.0
nuxeo_nuxeo-features,JDBC,JPA,6,0.0,0.0
nuxeo_nuxeo-features,JDBC,JPA,7,0.0,0.0
nuxeo_nuxeo-features,JDBC,JPA,8,0.0,0.0
nuxeo_nuxeo-features,JDBC,JPA,9,0.0,0.0
nuxeo_nuxeo-features,JDBC,JPA,10,0.0,0.0
nuxeo_nuxeo-features,JDBC,JPA,11,0.0,0.0
nuxeo_nuxeo-features,JDBC,JPA,12,0.0,0.0
nuxeo_nuxeo-features,JDBC,JPA,13,0.0,0.0
nuxeo_nuxeo-features,JDBC,JPA,14,0.0,0.0
nuxeo_nuxeo-features,JDBC,JPA,15,0.0,0.0
opower_jpile,JDBC,JPA,0,0.0,0.0
opower_jpile,JDBC,JPA,1,0.0,0.0
opower_jpile,JDBC,JPA,2,0.0,0.0
opower_jpile,JDBC,JPA,3,0.0,0.0
opower_jpile,JDBC,JPA,4,0.0,0.0
opower_jpile,JDBC,JPA,5,0.0,0.0
opower_jpile,JDBC,JPA,6,0.0,0.0
opower_jpile,JDBC,JPA,7,0.0,0.0
opower_jpile,JDBC,JPA,8,0.0,0.0
opower_jpile,JDBC,JPA,9,0.0,0.0
opower_jpile,JDBC,JPA,10,0.0,0.0
opower_jpile,JDBC,JPA,11,0.0,0.0
opower_jpile,JDBC,JPA,12,0.0,0.0
opower_jpile,JDBC,JPA,13,0.0,0.0
opower_jpile,JDBC,JPA,14,0.0,0.0
opower_jpile,JDBC,JPA,15,0.0,0.0
sabio_CosasDeBugDeveloper,JDBC,JPA,0,0.0,0.0
sabio_CosasDeBugDeveloper,JDBC,JPA,1,0.0,0.0
sabio_CosasDeBugDeveloper,JDBC,JPA,2,0.0,0.0
sabio_CosasDeBugDeveloper,JDBC,JPA,3,0.0,0.0
sabio_CosasDeBugDeveloper,JDBC,JPA,4,0.0,0.0
sabio_CosasDeBugDeveloper,JDBC,JPA,5,0.0,0.0
sabio_CosasDeBugDeveloper,JDBC,JPA,6,0.0,0.0
sabio_CosasDeBugDeveloper,JDBC,JPA,7,0.0,0.0
sabio_CosasDeBugDeveloper,JDBC,JPA,8,0.0,0.0
sabio_CosasDeBugDeveloper,JDBC,JPA,9,0.0,0.0
sabio_CosasDeBugDeveloper,JDBC,JPA,10,0.0,0.0
sabio_CosasDeBugDeveloper,JDBC,JPA,11,0.0,0.0
sabio_CosasDeBugDeveloper,JDBC,JPA,12,0.0,0.0
sabio_CosasDeBugDeveloper,JDBC,JPA,13,0.0,0.0
sabio_CosasDeBugDeveloper,JDBC,JPA,14,0.0,0.0
sabio_CosasDeBugDeveloper,JDBC,JPA,15,0.0,0.0
encog_encog-java-core,JDBC,JPA,0,0.0,0.0
encog_encog-java-core,JDBC,JPA,1,0.0,0.0
encog_encog-java-core,JDBC,JPA,2,0.0,0.0
encog_encog-java-core,JDBC,JPA,3,0.0,0.0
encog_encog-java-core,JDBC,JPA,4,0.0,0.0
encog_encog-java-core,JDBC,JPA,5,0.0,0.0
encog_encog-java-core,JDBC,JPA,6,0.0,0.0
encog_encog-java-core,JDBC,JPA,7,0.0,0.0
encog_encog-java-core,JDBC,JPA,8,0.0,0.0
encog_encog-java-core,JDBC,JPA,9,0.0,0.0
encog_encog-java-core,JDBC,JPA,10,0.0,0.0
encog_encog-java-core,JDBC,JPA,11,0.0,0.0
encog_encog-java-core,JDBC,JPA,12,0.0,0.0
encog_encog-java-core,JDBC,JPA,13,0.0,0.0
encog_encog-java-core,JDBC,JPA,14,0.0,0.0
encog_encog-java-core,JDBC,JPA,15,0.0,0.0
hibernate_hibernate-ogm,JDBC,JPA,0,0.0,0.0
hibernate_hibernate-ogm,JDBC,JPA,1,0.0,0.0
hibernate_hibernate-ogm,JDBC,JPA,2,0.0,0.0
hibernate_hibernate-ogm,JDBC,JPA,3,0.0,0.0
hibernate_hibernate-ogm,JDBC,JPA,4,0.0,0.0
hibernate_hibernate-ogm,JDBC,JPA,5,0.0,0.0
hibernate_hibernate-ogm,JDBC,JPA,6,0.0,0.0
hibernate_hibernate-ogm,JDBC,JPA,7,0.0,0.0
hibernate_hibernate-ogm,JDBC,JPA,8,0.0,0.0
hibernate_hibernate-ogm,JDBC,JPA,9,0.0,0.0
hibernate_hibernate-ogm,JDBC,JPA,10,0.0,0.0
hibernate_hibernate-ogm,JDBC,JPA,11,0.0,0.0
hibernate_hibernate-ogm,JDBC,JPA,12,0.0,0.0
hibernate_hibernate-ogm,JDBC,JPA,13,0.0,0.0
hibernate_hibernate-ogm,JDBC,JPA,14,0.0,0.0
hibernate_hibernate-ogm,JDBC,JPA,15,0.0,0.0
dagi_spring-training,JDBC,JPA,0,0.0,0.0
dagi_spring-training,JDBC,JPA,1,0.0,0.0
dagi_spring-training,JDBC,JPA,2,0.0,0.0
dagi_spring-training,JDBC,JPA,3,0.0,0.0
dagi_spring-training,JDBC,JPA,4,0.0,0.0
dagi_spring-training,JDBC,JPA,5,0.0,0.0
dagi_spring-training,JDBC,JPA,6,0.0,0.0
dagi_spring-training,JDBC,JPA,7,0.0,0.0
dagi_spring-training,JDBC,JPA,8,0.0,0.0
dagi_spring-training,JDBC,JPA,9,0.0,0.0
dagi_spring-training,JDBC,JPA,10,0.0,0.0
dagi_spring-training,JDBC,JPA,11,0.0,0.0
dagi_spring-training,JDBC,JPA,12,0.0,0.0
dagi_spring-training,JDBC,JPA,13,0.0,0.0
dagi_spring-training,JDBC,JPA,14,0.0,0.0
dagi_spring-training,JDBC,JPA,15,0.0,0.0
ichatz_wiseml,JDBC,JPA,0,0.0,0.0
ichatz_wiseml,JDBC,JPA,1,0.0,0.0
ichatz_wiseml,JDBC,JPA,2,0.0,0.0
ichatz_wiseml,JDBC,JPA,3,0.0,0.0
ichatz_wiseml,JDBC,JPA,4,0.0,0.0
ichatz_wiseml,JDBC,JPA,5,0.0,0.0
ichatz_wiseml,JDBC,JPA,6,0.0,0.0
ichatz_wiseml,JDBC,JPA,7,0.0,0.0
ichatz_wiseml,JDBC,JPA,8,0.0,0.0
ichatz_wiseml,JDBC,JPA,9,0.0,0.0
ichatz_wiseml,JDBC,JPA,10,0.0,0.0
ichatz_wiseml,JDBC,JPA,11,0.0,0.0
ichatz_wiseml,JDBC,JPA,12,0.0,0.0
ichatz_wiseml,JDBC,JPA,13,0.0,0.0
ichatz_wiseml,JDBC,JPA,14,0.0,0.0
ichatz_wiseml,JDBC,JPA,15,0.0,0.0
nuxeo_nuxeo-core,JDBC,JPA,0,0.0,0.0
nuxeo_nuxeo-core,JDBC,JPA,1,0.0,0.0
nuxeo_nuxeo-core,JDBC,JPA,2,0.0,0.0
nuxeo_nuxeo-core,JDBC,JPA,3,0.0,0.0
nuxeo_nuxeo-core,JDBC,JPA,4,0.0,0.0
nuxeo_nuxeo-core,JDBC,JPA,5,0.0,0.0
nuxeo_nuxeo-core,JDBC,JPA,6,0.0,0.0
nuxeo_nuxeo-core,JDBC,JPA,7,0.0,0.0
nuxeo_nuxeo-core,JDBC,JPA,8,0.0,0.0
nuxeo_nuxeo-core,JDBC,JPA,9,0.0,0.0
nuxeo_nuxeo-core,JDBC,JPA,10,0.0,0.0
nuxeo_nuxeo-core,JDBC,JPA,11,0.0,0.0
nuxeo_nuxeo-core,JDBC,JPA,12,0.0,0.0
nuxeo_nuxeo-core,JDBC,JPA,13,0.0,0.0
nuxeo_nuxeo-core,JDBC,JPA,14,0.0,0.0
nuxeo_nuxeo-core,JDBC,JPA,15,0.0,0.0
garyrussell_spring-integration-ha-demo,JDBC,JPA,0,0.25,0.25
garyrussell_spring-integration-ha-demo,JDBC,JPA,1,0.0,0.25
garyrussell_spring-integration-ha-demo,JDBC,JPA,2,0.0,0.25
garyrussell_spring-integration-ha-demo,JDBC,JPA,3,0.0,0.25
garyrussell_spring-integration-ha-demo,JDBC,JPA,4,0.0,0.25
garyrussell_spring-integration-ha-demo,JDBC,JPA,5,0.0,0.25
garyrussell_spring-integration-ha-demo,JDBC,JPA,6,0.0,0.25
garyrussell_spring-integration-ha-demo,JDBC,JPA,7,0.0,0.25
garyrussell_spring-integration-ha-demo,JDBC,JPA,8,0.0,0.25
garyrussell_spring-integration-ha-demo,JDBC,JPA,9,0.0,0.25
garyrussell_spring-integration-ha-demo,JDBC,JPA,10,0.0,0.25
garyrussell_spring-integration-ha-demo,JDBC,JPA,11,0.0,0.25
garyrussell_spring-integration-ha-demo,JDBC,JPA,12,0.0,0.25
garyrussell_spring-integration-ha-demo,JDBC,JPA,13,0.0,0.25
garyrussell_spring-integration-ha-demo,JDBC,JPA,14,0.0,0.25
garyrussell_spring-integration-ha-demo,JDBC,JPA,15,0.0,0.25
droolsjbpm_droolsjbpm-contributed-experiments,JDBC,JPA,0,0.0,0.0
droolsjbpm_droolsjbpm-contributed-experiments,JDBC,JPA,1,0.0,0.0
droolsjbpm_droolsjbpm-contributed-experiments,JDBC,JPA,2,0.0,0.0
droolsjbpm_droolsjbpm-contributed-experiments,JDBC,JPA,3,0.0,0.0
droolsjbpm_droolsjbpm-contributed-experiments,JDBC,JPA,4,0.0,0.0
droolsjbpm_droolsjbpm-contributed-experiments,JDBC,JPA,5,0.0,0.0
droolsjbpm_droolsjbpm-contributed-experiments,JDBC,JPA,6,0.0,0.0
droolsjbpm_droolsjbpm-contributed-experiments,JDBC,JPA,7,0.0,0.0
droolsjbpm_droolsjbpm-contributed-experiments,JDBC,JPA,8,0.0,0.0
droolsjbpm_droolsjbpm-contributed-experiments,JDBC,JPA,9,0.0,0.0
droolsjbpm_droolsjbpm-contributed-experiments,JDBC,JPA,10,0.0,0.0
droolsjbpm_droolsjbpm-contributed-experiments,JDBC,JPA,11,0.0,0.0
droolsjbpm_droolsjbpm-contributed-experiments,JDBC,JPA,12,0.0,0.0
droolsjbpm_droolsjbpm-contributed-experiments,JDBC,JPA,13,0.0,0.0
droolsjbpm_droolsjbpm-contributed-experiments,JDBC,JPA,14,0.0,0.0
droolsjbpm_droolsjbpm-contributed-experiments,JDBC,JPA,15,0.0,0.0
infinispan_infinispan,JDBC,JPA,0,0.0,0.0
infinispan_infinispan,JDBC,JPA,1,0.0,0.0
infinispan_infinispan,JDBC,JPA,2,0.0,0.0
infinispan_infinispan,JDBC,JPA,3,0.0,0.0
infinispan_infinispan,JDBC,JPA,4,0.0,0.0
infinispan_infinispan,JDBC,JPA,5,0.0,0.0
infinispan_infinispan,JDBC,JPA,6,0.0,0.0
infinispan_infinispan,JDBC,JPA,7,0.0,0.0
infinispan_infinispan,JDBC,JPA,8,0.0,0.0
infinispan_infinispan,JDBC,JPA,9,0.0,0.0
infinispan_infinispan,JDBC,JPA,10,0.0,0.0
infinispan_infinispan,JDBC,JPA,11,0.0,0.0
infinispan_infinispan,JDBC,JPA,12,0.0,0.0
infinispan_infinispan,JDBC,JPA,13,0.0,0.0
infinispan_infinispan,JDBC,JPA,14,0.0,0.0
infinispan_infinispan,JDBC,JPA,15,0.0,0.0
societies_SOCIETIES-Platform,JDBC,JPA,0,0.0,0.0
societies_SOCIETIES-Platform,JDBC,JPA,1,0.0,0.0
societies_SOCIETIES-Platform,JDBC,JPA,2,0.0,0.0
societies_SOCIETIES-Platform,JDBC,JPA,3,0.0,0.0
societies_SOCIETIES-Platform,JDBC,JPA,4,0.0,0.0
societies_SOCIETIES-Platform,JDBC,JPA,5,0.0,0.0
societies_SOCIETIES-Platform,JDBC,JPA,6,0.0,0.0
societies_SOCIETIES-Platform,JDBC,JPA,7,0.0,0.0
societies_SOCIETIES-Platform,JDBC,JPA,8,0.0,0.0
societies_SOCIETIES-Platform,JDBC,JPA,9,0.0,0.0
societies_SOCIETIES-Platform,JDBC,JPA,10,0.0,0.0
societies_SOCIETIES-Platform,JDBC,JPA,11,0.0,0.0
societies_SOCIETIES-Platform,JDBC,JPA,12,0.0,0.0
societies_SOCIETIES-Platform,JDBC,JPA,13,0.0,0.0
societies_SOCIETIES-Platform,JDBC,JPA,14,0.0,0.0
societies_SOCIETIES-Platform,JDBC,JPA,15,0.0,0.0
apache_geronimo,JDBC,JPA,0,0.0,0.0
apache_geronimo,JDBC,JPA,1,0.0,0.0
apache_geronimo,JDBC,JPA,2,0.0,0.0
apache_geronimo,JDBC,JPA,3,0.0,0.0
apache_geronimo,JDBC,JPA,4,0.0,0.0
apache_geronimo,JDBC,JPA,5,0.0,0.0
apache_geronimo,JDBC,JPA,6,0.0,0.0
