project,step,entities,jpa-all,relative-jpa-all,jdbc-all,relative-jdbc-all,hbm-all,relative-hbm-all,jpa,relative-jpa,jdbc,relative-jdbc,hbm,relative-hbm,jpa-jdbc,relative-jpa-jdbc,jpa-hbm,relative-jpa-hbm,jdbc-hbm,relative-jdbc-hbm,jpa-jdbc-hbm,relative-jpa-jdbc-hbm
limcheekin_vaadin-addressbook-sample,1.0,1,1,1.0,0,0.0,0,0.0,1,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
sagioto_forum,0.0,4,0,0.0,4,1.0,0,0.0,0,0.0,4,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
sagioto_forum,0.1,4,0,0.0,4,1.0,0,0.0,0,0.0,4,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
sagioto_forum,0.2,8,0,0.0,8,1.0,0,0.0,0,0.0,8,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
sagioto_forum,0.3,8,0,0.0,8,1.0,0,0.0,0,0.0,8,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
sagioto_forum,0.4,8,0,0.0,8,1.0,0,0.0,0,0.0,8,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
sagioto_forum,0.5,8,0,0.0,8,1.0,0,0.0,0,0.0,8,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
sagioto_forum,0.6,8,0,0.0,8,1.0,0,0.0,0,0.0,8,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
sagioto_forum,0.7,8,0,0.0,8,1.0,0,0.0,0,0.0,8,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
sagioto_forum,0.8,8,0,0.0,8,1.0,0,0.0,0,0.0,8,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
sagioto_forum,0.9,8,0,0.0,8,1.0,0,0.0,0,0.0,8,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
sagioto_forum,1.0,8,0,0.0,8,1.0,0,0.0,0,0.0,8,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
jpaoletti_java-presentation-manager,0.0,5,4,0.8,0,0.0,1,0.2,4,0.8,0,0.0,1,0.2,0,0.0,0,0.0,0,0.0,0,0.0
jpaoletti_java-presentation-manager,0.1,5,4,0.8,0,0.0,1,0.2,4,0.8,0,0.0,1,0.2,0,0.0,0,0.0,0,0.0,0,0.0
jpaoletti_java-presentation-manager,0.2,5,4,0.8,0,0.0,1,0.2,4,0.8,0,0.0,1,0.2,0,0.0,0,0.0,0,0.0,0,0.0
